nfeature,r_g1,r_g2,num_bioreps,num_allele_specific_reads_per_biorep,num_allele_specific_reads,total_coverage,theta1_sim,theta2_sim,delta_AI_1,delta_AI_2,delta_AI_3,alpha1_sim,alpha2_sim,average_alpha1,median_alpha1,variance_alpha1,average_alpha2,median_alpha2,variance_alpha2,average_theta1,median_theta1,variance_theta1,average_theta2,median_theta2,variance_theta2,average_c1_sampleprop,median_c1_sampleprop,variance_c1_sampleprop,average_c2_sampleprop,median_c2_sampleprop,variance_c2_sampleprop,prop_H1_LE05,prop_H1_LE01,prop_H2_LE05,prop_H2_LE01,prop_H3_LE05,prop_H3_LE01
1000,0.8,0.8,6,160,960,100,0.5,0.65,0,0.3,0.3,1,0.7337994,0.9987846,0.9965,0.002476706,0.7454034,0.7432,0.0013526,0.5018814,0.50235,0.00061349,0.6433334,0.6445,0.00050605,0.5019608,0.50215,0.000672916,0.6496206,0.65045,0.00055662,0.047,0.012,1,0.999,0.98,0.907
1000,0.8,0.8,5,192,960,120,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0018928,0.9996,0.002673241,0.7480495,0.7468,0.001507106,0.5004741,0.5009,0.000657696,0.641776,0.64225,0.000562051,0.5005,0.5005,0.000724363,0.6492816,0.6492,0.000635537,0.038,0.003,1,0.992,0.971,0.873
1000,0.8,0.8,4,240,960,150,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0038111,1.0006,0.003394427,0.7495531,0.7493,0.00178533,0.4998318,0.50055,0.000824619,0.6409614,0.64085,0.00066332,0.4997718,0.501,0.000930642,0.6495724,0.6505,0.00075282,0.041,0.007,0.999,0.981,0.931,0.78
1000,0.8,0.8,12,80,960,50,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0019085,0.99985,0.001639216,0.7437868,0.7425,0.000940644,0.4999092,0.5005,0.000403805,0.6441674,0.64475,0.000355393,0.4998609,0.5005,0.000427429,0.6483849,0.6489,0.000384129,0.04,0.01,1,1,0.999,0.987
1000,0.8,0.8,8,120,960,75,0.5,0.65,0,0.3,0.3,1,0.7337994,1.0032271,1.00225,0.002082429,0.7435542,0.74375,0.001150333,0.4994637,0.49955,0.000513044,0.6443861,0.6441,0.000433537,0.4994155,0.4995,0.000552403,0.6498438,0.6498,0.000481042,0.043,0.006,1,1,0.996,0.968
1000,0.8,0.8,6,160,960,100,0.5,0.6,0,0.2,0.2,1,0.8164966,0.9987845,0.9967,0.002476085,0.8263766,0.8254,0.001728284,0.5018871,0.5023,0.000613211,0.5949909,0.5952,0.000583242,0.5019608,0.50215,0.000672916,0.5994892,0.59955,0.000643153,0.05,0.009,0.958,0.863,0.721,0.483
1000,0.8,0.8,5,192,960,120,0.5,0.6,0,0.2,0.2,1,0.8164966,1.0018924,1,0.002668756,0.8256762,0.8263,0.001787568,0.5004662,0.50075,0.000656786,0.5954631,0.59475,0.000602759,0.5005,0.5005,0.000724363,0.6005436,0.5998,0.000667917,0.042,0.006,0.952,0.809,0.712,0.437
1000,0.8,0.8,4,240,960,150,0.5,0.6,0,0.2,0.2,1,0.8164966,1.0038378,1.001,0.003391602,0.830414,0.8286,0.002378115,0.4998139,0.5004,0.000823407,0.5929334,0.5934,0.000792081,0.4997718,0.501,0.000930642,0.5986843,0.5995,0.000891682,0.047,0.009,0.883,0.658,0.595,0.333
1000,0.8,0.8,12,80,960,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.0019516,1.0002,0.001637477,0.8239894,0.8235,0.001156887,0.4998904,0.5004,0.000403547,0.5961309,0.5961,0.000391839,0.4998609,0.5005,0.000427429,0.599034,0.59915,0.000420206,0.039,0.009,0.998,0.968,0.915,0.735
1000,0.8,0.8,8,120,960,75,0.5,0.6,0,0.2,0.2,1,0.8164966,1.003225,1.00245,0.002081296,0.8226375,0.82235,0.00145223,0.4994645,0.49935,0.000512546,0.5970432,0.5969,0.000493012,0.4994155,0.4995,0.000552403,0.6008626,0.6004,0.000536718,0.045,0.003,0.987,0.939,0.839,0.639
1000,0.8,0.8,6,160,960,100,0.5,0.55,0,0.1,0.1,1,0.904534,0.9987921,0.9967,0.002475883,0.9112427,0.91025,0.002120514,0.5018847,0.50225,0.000613241,0.5473913,0.5474,0.000619206,0.5019608,0.50215,0.000672916,0.5495984,0.5493,0.000676294,0.045,0.007,0.458,0.211,0.243,0.085
1000,0.8,0.8,5,192,960,120,0.5,0.55,0,0.1,0.1,1,0.904534,1.001869,0.9998,0.00267019,0.9108208,0.9078,0.002410365,0.50048,0.5008,0.000657071,0.5477543,0.5488,0.000704436,0.5005,0.5005,0.000724363,0.5503369,0.55135,0.000781694,0.038,0.008,0.427,0.178,0.216,0.072
1000,0.8,0.8,4,240,960,150,0.5,0.55,0,0.1,0.1,1,0.904534,1.0038621,1.0004,0.003388167,0.912885,0.9108,0.002969839,0.4998038,0.5007,0.000823005,0.5468869,0.5472,0.000864802,0.4997718,0.501,0.000930642,0.5499333,0.5508,0.000974775,0.046,0.008,0.352,0.153,0.202,0.074
1000,0.8,0.8,12,80,960,50,0.5,0.55,0,0.1,0.1,1,0.904534,1.001918,0.99965,0.001641895,0.9101353,0.9085,0.001555933,0.4998993,0.5007,0.000404633,0.5476804,0.5482,0.000457017,0.4998609,0.5005,0.000427429,0.5491284,0.5498,0.000486851,0.038,0.009,0.63,0.37,0.363,0.147
1000,0.8,0.8,8,120,960,75,0.5,0.55,0,0.1,0.1,1,0.904534,1.0032444,1.00245,0.002081064,0.9081698,0.90795,0.001846413,0.4994562,0.4994,0.000512698,0.5489047,0.5486,0.000543698,0.4994155,0.4995,0.000552403,0.5508055,0.55055,0.000588916,0.042,0.007,0.568,0.294,0.317,0.123
1000,0.8,0.8,8,200,1600,125,0.5,0.55,0,0.1,0.1,1,0.904534,1.0036445,1.00205,0.00181707,0.9094967,0.9072,0.001537597,0.4990886,0.4995,0.000445531,0.5480263,0.54885,0.000449634,0.499062,0.4991,0.000473352,0.5495191,0.5503,0.000479276,0.056,0.009,0.63,0.37,0.369,0.173
1000,0.8,0.8,5,320,1600,200,0.5,0.55,0,0.1,0.1,1,0.904534,1.0018527,1.003,0.002252268,0.9115727,0.9116,0.001893663,0.5002788,0.49905,0.000557272,0.5471401,0.54675,0.000554707,0.5003831,0.4995,0.000608283,0.5492837,0.54895,0.000603079,0.042,0.005,0.457,0.215,0.258,0.078
1000,0.8,0.8,4,400,1600,250,0.5,0.55,0,0.1,0.1,1,0.904534,1.0003952,1.00005,0.002883363,0.9130123,0.9133,0.002288793,0.5012905,0.50075,0.000711388,0.5465624,0.5458,0.000667245,0.5013931,0.5011,0.000788974,0.54918,0.549,0.000746875,0.049,0.009,0.374,0.158,0.192,0.067
1000,0.8,0.8,12,200,2400,125,0.5,0.55,0,0.1,0.1,1,0.904534,0.9999117,0.9999,0.001298255,0.9062553,0.90555,0.000896023,0.5006592,0.5003,0.00032341,0.5495098,0.5497,0.000265608,0.5006482,0.5002,0.0003365,0.5504604,0.5507,0.000275954,0.068,0.01,0.835,0.613,0.533,0.274
1000,0.8,0.8,8,300,2400,187.5,0.5,0.55,0,0.1,0.1,1,0.904534,1.0025819,1.00155,0.001826793,0.9102331,0.90865,0.001315337,0.4995595,0.4996,0.000452428,0.5475279,0.54805,0.000386753,0.4995848,0.49955,0.000476468,0.5488205,0.5495,0.000405674,0.074,0.024,0.656,0.428,0.413,0.198
1000,0.8,0.8,6,400,2400,250,0.5,0.55,0,0.1,0.1,1,0.904534,1.0030058,1.0008,0.002043534,0.9103105,0.9104,0.001646043,0.4995088,0.5002,0.00050096,0.5476515,0.54725,0.00048214,0.4994458,0.5,0.000533801,0.5493439,0.5488,0.000518042,0.061,0.011,0.557,0.321,0.354,0.136
1000,0.8,0.8,5,480,2400,300,0.5,0.55,0,0.1,0.1,1,0.904534,1.0025114,1.00165,0.002108223,0.9108798,0.90955,0.00180004,0.4998532,0.49985,0.000519279,0.5474424,0.5477,0.000525629,0.499843,0.4996,0.000562921,0.5494786,0.5499,0.000572421,0.044,0.009,0.508,0.24,0.289,0.105
1000,0.8,0.8,4,600,2400,375,0.5,0.55,0,0.1,0.1,1,0.904534,1.0024099,0.9985,0.002611126,0.9112525,0.9112,0.002329765,0.5001701,0.5014,0.000642455,0.5474812,0.54695,0.000681569,0.5001905,0.50145,0.00071525,0.5499135,0.5493,0.000749279,0.04,0.005,0.414,0.177,0.226,0.068
10000,0.8,0.8,6,160,960,100,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00259466,1.001,0.002469091,0.74562274,0.7444,0.001368861,0.49998116,0.5002,0.000604953,0.64320056,0.6437,0.000512919,0.49996071,0.5,0.000662492,0.6495687,0.6499,0.000568149,0.041,0.0077,1,0.9986,0.9824,0.9197
10000,0.8,0.8,5,192,960,120,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00311336,1.0021,0.002790795,0.74666881,0.7454,0.001567902,0.49988994,0.4997,0.000684658,0.64263014,0.6432,0.000585957,0.49989815,0.4995,0.000758202,0.64993368,0.6505,0.000652465,0.0421,0.0078,0.9996,0.9945,0.9676,0.8715
10000,0.8,0.8,4,240,960,150,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00232886,1.0011,0.003275707,0.75001607,0.7493,0.00181297,0.50053149,0.5003,0.00080242,0.64068082,0.6408,0.000674584,0.50054888,0.5005,0.000907366,0.6492567,0.6494,0.000766606,0.0449,0.0062,0.9987,0.985,0.9322,0.776
10000,0.8,0.8,12,80,960,50,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00215531,1.0006,0.001797103,0.74151995,0.7408,0.001002796,0.4998235,0.5002,0.000442894,0.64557362,0.6458,0.000379078,0.49982269,0.5,0.000470175,0.6498608,0.65,0.000410134,0.0499,0.0088,1,1,0.9989,0.9917
10000,0.8,0.8,8,120,960,75,0.5,0.65,0,0.3,0.3,1,0.7337994,1.00186936,1.0011,0.0021858,0.74390184,0.7425,0.001166036,0.5001659,0.5,0.000539863,0.64417873,0.6448,0.000438769,0.50017781,0.5,0.000581817,0.64949113,0.6499,0.000477432,0.047,0.0094,1,0.9999,0.9937,0.9631
10000,0.8,0.8,6,160,960,100,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00261101,1.001,0.002471077,0.82542156,0.8244,0.001682999,0.4999728,0.50015,0.000605434,0.59553598,0.5958,0.000566214,0.49996071,0.5,0.000662492,0.5999605,0.6002,0.000622945,0.0443,0.0086,0.9652,0.8696,0.7577,0.509
10000,0.8,0.8,5,192,960,120,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00311137,1.002,0.002788839,0.82673276,0.826,0.00187555,0.49989125,0.4997,0.000684237,0.59486997,0.5949,0.000629615,0.49989815,0.4995,0.000758202,0.59986626,0.6002,0.000701762,0.0415,0.0073,0.9447,0.8005,0.7078,0.4297
10000,0.8,0.8,4,240,960,150,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00232486,1.00115,0.003276636,0.8283728,0.8273,0.002172551,0.50053205,0.5003,0.000802604,0.59406341,0.5942,0.000725698,0.50054888,0.5005,0.000907366,0.59994003,0.6,0.00082153,0.0442,0.0066,0.9015,0.704,0.616,0.3302
10000,0.8,0.8,12,80,960,50,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00214953,1.0006,0.001797261,0.82240778,0.8216,0.001230497,0.49982579,0.5001,0.000442911,0.59706829,0.5973,0.000417954,0.49982269,0.5,0.000470175,0.59999881,0.6,0.000447176,0.0499,0.0087,0.9946,0.978,0.9032,0.7471
10000,0.8,0.8,8,120,960,75,0.5,0.6,0,0.2,0.2,1,0.8164966,1.00186217,1.0012,0.002184769,0.82458344,0.8234,0.001420555,0.50016864,0.5,0.000539699,0.5959027,0.5963,0.000480562,0.50017781,0.5,0.000581817,0.59956047,0.5998,0.00052183,0.0481,0.0102,0.9881,0.9299,0.8323,0.6091
